If you liked,Recommendation 1,Recommendation 2,Recommendation 3,Recommendation 4,Recommendation 5
Glamour Exclusive: President Obama On Feminism and The World He Wants to Leave His Daughters,Workplace diversity in Brazil: there's still a long way to go,As expectativas das mulheres da Geração Y são muitas,A minha viagem à Maternidade #tetodomundo,Conheça 20 atletas LGBT que vão competir nas Olimpíadas do Rio,Neural networks are inadvertently learning our language's hidden gender biases
Most Interesting APIs in 2016: Cognitive Computing,"Docker - Build, Ship, and Run Any App, Anywhere",Hacked Website Report - 2016/Q3,Zuckerberg mostra em vídeo do que sua inteligência artificial 'Jarvis' é capaz,Banco desafia empreendedores e estudantes de tecnologia a buscarem inovação para processos | EXAME.com,Visa lança desafio para startups de tecnologia - Startupi
Google researchers teach AIs to see the important parts of images - and tell you about them,Why Netflix thinks its personalized recommendation engine is worth $1 billion per year,"DARPA Goes ""Meta"" with Machine Learning for Machine Learning",Making open source data more available,"Hello, TensorFlow!","Netflix says Geography, Age, and Gender are ""Garbage"" for Predicting Taste"
Apenas US$ 59: Nintendo anuncia o relançamento do Nintendinho com 30 jogos na memória,Resenha - A Chegada,gotwarlost/istanbul,Como o layout de aplicativos influencia o usuário e por que você deveria testá-lo - One Day Testing Blog,"No Brasil, '25% dos celulares ainda são 'Burrofones'",Creating Compound Views on Android
Why porting an iOS design to Android will not work,How to Design a Walkthrough That Users Will Read,Designing smart notifications,Alecrim/AlecrimCoreData,Up your app's sharing game with DirectShare - Google Developers,"Deep-learning algorithm predicts photos' memorability at ""near-human"" levels"
Scrum Community - Scrum Alliance,The Difference Between Sympathy And Empathy - Expanded Consciousness,What Science Tells Us About Leadership Potential,Top 15 Facebook Open Source Projects You Must Know,Promises | Web Fundamentals - Google Developers,The Ten Commandments of Egoless Programming
Mastering Bash and Terminal,Build Quality In: The Key to Continuous Delivery in Kanban,Labelling automated builds on Docker Hub - Microscaling Systems,The Ten Commandments of Egoless Programming,Discutindo Devops na Prática,Java Microservices: The Cake is a Lie but You Can't Ignore It | Takipi Blog
How This Former Google Engineer Is Bringing Blockchain to Banks,"Elopar lança o ""Digio"", cartão para brigar com Nubank",Bradesco vai lançar novo banco digital: o Next.,Itaú é pioneiro do blockchain,The Drive to Bank on Digital,Nubank pode fechar as portas se BC confirmar mudança amanhã
AI Is Here to Help You Write Emails People Will Actually Read,Text summarization with TensorFlow,Algorithms and architecture for job recommendations,The AI business landscape,Bad Writing Is Destroying Your Company's Productivity,5 reasons your employees aren't sharing their knowledge
Git Large File Storage (Git LFS) now in Bitbucket Cloud - Bitbucket,Announcing .NET Core 1.0,Torus,Visa vai testar nas Olimpíadas do Rio um anel para pagamentos,The Netflix Tech Blog: Engineering Trade-Offs and The Netflix API Re-Architecture,Beyond Progressive Web Apps Part 1
Duolingo's chatbots help you learn a new language,Why Deep Learning Is Suddenly Changing Your Life,This Super Accurate Portrait Selection Tech Uses Neural Networks,How will bots make money? Here are 7 business models,"Deep Learning for Chatbots, Part 2 - Implementing a Retrieval-Based Model in Tensorflow",Top 10 Intranet Trends of 2016
Java Tools and Technologies Landscape Report 2016 | zeroturnaround.com,"Tabs vs Spaces: How They Write Java at Google, Twitter, Mozilla and Pied Piper | Takipi Blog",How it feels to learn Javascript in 2016,Node.js Best Practices - How to Become a Better Developer in 2017 | @RisingStack,Google Cloud Platform's preemptible VMs are now up to 33% cheaper,Elastic Stack 5.0.0 Released
Labelling automated builds on Docker Hub - Microscaling Systems,Build Quality In: The Key to Continuous Delivery in Kanban,Mastering Bash and Terminal,Vision API - Image Content Analysis,Discutindo Devops na Prática,The Ten Commandments of Egoless Programming
Susan Wojcicki on the Effectiveness of Empowering Ads on YouTube,Google employees are adding 'Lady' to their job titles to fight sexism,9 Non-Threatening Leadership Strategies for Women,The AI business landscape,Making open source data more available,"Meet Bozoma Saint John, the Apple executive who stole the show at WWDC"
"If you think women in tech is just a pipeline problem, you haven't been paying attention - Tech Diversity Files",Susan Wojcicki on the Effectiveness of Empowering Ads on YouTube,Google employees are adding 'Lady' to their job titles to fight sexism,Jury finds Google's implementation of Java in Android was fair use,"If women in tech stop apologizing, we might just be able to shut the sexist shit down. - Athena Talks",Front in BH 2016
Powering a more connected and collaborative enterprise,How Mark Zuckerberg Led Facebook's War to Crush Google Plus,"Amazon open-sources its own deep learning software, DSSTNE",Why Google App Engine rocks: A Google engineer's take,Google's Cloud Machine Learning service is now in public beta,The AI business landscape
So you want to sell to banks?,Ray Kurzweil: The world isn't getting worse - our information is getting better,Time to Re-Think Design Thinking,Itaú é pioneiro do blockchain,Nubank pode fechar as portas se BC confirmar mudança amanhã,The surprising truth about which countries lead in digital
O que você deve fazer para se tornar um líder melhor?,O valor de seu trabalho de coaching vai depender de suas habilidades de acompanhamento - Harvard Business Review Brasil,Investimentos em coaching e mentoring aumentam nas empresas,Qual é o valor da área de T&D na sua empresa?,"Life Coach vs. Therapist, Learn the Difference | Tony Robbins","Para neurociência, motivação não é fator principal em mudança de hábitos"
Infográfico: Algoritmos para Aprendizado de Máquina,"Hello, TensorFlow!",Why Google App Engine rocks: A Google engineer's take,"No, Apple isn't the next BlackBerry - it's the next Microsoft",The AI business landscape,"DARPA Goes ""Meta"" with Machine Learning for Machine Learning"
Burger King aceita pedidos via mensagens no Facebook - Startupi,Google usa aprendizado de máquina para melhorar imagens de baixa qualidade | Google Discovery,1º Congresso Brasileiro de IoT - Embarcados,Nova pulseira tecnológica avisa se você já bebeu demais,"Por dentro do MariaLab: A tecnologia é área para as mulheres, sim!",Inteligência artificial da IBM criou 'trailer perfeito' para filme
"Inovador, Nubank ganha prêmio no Vale do Silício | EXAME.com",Big IT Rising,An operating model for company-wide agile development,You won't recognize the new world of digital payments without this report,An operating model for company-wide agile development,Embracing Agile
Tasting Dagger 2 on Android,Criando ícones animados no Android,Hype Driven Development,You SHOULD Learn Vanilla JavaScript Before JS Frameworks - Snipcart,"Fresco, sim! - Android Dev BR",Firebase Test Lab for Android
Elasticsearch: CSV exporter for Kibana Discover,Globo G1 lança Bot para o Telegram que te ajuda a estudar para o Enem,"Vale reverte prejuízo e tem lucro de R$ 1,8 bilhão no 3º trimestre",Cordova iOS Performance Improvements: Drop-in Speed with WKWebView,Usando o git add interativo,Apenas US$ 59: Nintendo anuncia o relançamento do Nintendinho com 30 jogos na memória
Este é o melhor jeito de entender como as mulheres sofrem machismo na área de TI,Introducing Ask a Female Engineer,Conheça 20 atletas LGBT que vão competir nas Olimpíadas do Rio,"Por dentro do MariaLab: A tecnologia é área para as mulheres, sim!",Burger King aceita pedidos via mensagens no Facebook - Startupi,Este site quer conectar profissionais trans e travestis a empresas que não têm preconceito
Seria Stranger Things uma obra de arte do algoritmo da Netflix?,The AI business landscape,How Mark Zuckerberg Led Facebook's War to Crush Google Plus,Why Google App Engine rocks: A Google engineer's take,"Amazon open-sources its own deep learning software, DSSTNE",What the Google I/O schedule tells us about the future of Android
"Como o e-commerce brasileiro pode, enfim, começar a lucrar",From E-Commerce to Web 3.0: Let the Bots Do the Shopping,Não existe frete grátis!,As compras e os hábitos dos brasileiros no shopping | EXAME.com,Startups matam. E suas vítimas são as empresas que ainda não entendem o que é a Economia do Acesso,Por que o Walmart não é Walmart no Brasil
Lists are the new search,Alecrim/AlecrimCoreData,Joel on Software,Ordering coffee in Italy: the 10 commandments,"AWS vs Packet.net Why we left AWS Benchmarking AWS's Network, Disk, and CPU Performance - Tiingo Thoughts",What to Expect at WWDC 2016
Porto Seguro compra carteira de seguros Auto da Chubb,Jeff Seguros: SEGUROS E GAMES,Ranking das maiores seguradoras da Europa - 2015 | Sonho Seguro,Transforming life insurance with design thinking,Liberty vai adotar telemetria e baratear seguro para bons motoristas,BDD Best Practices and Guidelines - Testing Excellence
Internet of Things Drives Outcome-Based Business Models,How to finish 3D printed PLA objects,Samsung lança dispositivo para deixar carro conectado a partir de chip 4G - Link - Estadão,DBA BRASIL no INTEROPMIX 2016,Standing on the Shoulders of Giants - Built to Adapt,"CSP Is Dead, Long Live CSP! On the Insecurity of Whitelists and the Future of Content Security Policy"
Peças Translúcidas,How to finish 3D printed PLA objects,Lentes de contato inteligentes serão o wearable definitivo,"Por dentro do MariaLab: A tecnologia é área para as mulheres, sim!",Laboratório da Disney cria robô que pula,Why and How to Avoid Hamburger Menus - Louie A. - Mobile UX Design
Conheça 20 atletas LGBT que vão competir nas Olimpíadas do Rio,Este site quer conectar profissionais trans e travestis a empresas que não têm preconceito,Para entender o Dia Internacional contra a Homofobia,Glamour Exclusive: President Obama On Feminism and The World He Wants to Leave His Daughters,The Genderbread Person v3 | It's Pronounced Metrosexual,Não ao preconceito! ONU celebra Dia da Visibilidade de Mulheres Lésbicas e Bissexuais
"Google acquires Synergyse, an interactive training service for Google Apps","Google launches Springboard, an AI-powered assistant for its enterprise customers","Hello, a nova rede social do Orkut, está liberada no Brasil",Building more accessible technology,"Bots, Messenger and the future of customer service",The AI business landscape
Johnson & Johnson comprará grupo suíço por US$ 30 bi,Dries Buytaert,Who sponsors Drupal development? | Dries Buytaert,Johnson & Johnson compra líder global em dermocosméticos | EXAME.com,A nova sede da LEGO na Dinamarca é toda sobre colaboração,Lightning Distribution for Drupal: Build Advanced Authoring Experiences in Drupal 8
The brilliant mechanics of Pokémon Go,The Physical Web,Mobile marketing statistics 2016,Can Accenture Take Over Advertising?,"No, Apple isn't the next BlackBerry - it's the next Microsoft",Chat Smarter with Allo
Eclipse Foundation Releases Neon,Kubernetes,Graph Capabilities with the Elastic Stack,Serverless Data Sync in Web Apps with Bit Torrent,JavaServer Faces 2.3 Quick Reference - DZone Java,Pull request first - Practical Blend
Machine Learning Is Redefining The Enterprise In 2016,Power to the People: How One Unknown Group of Researchers Holds the Key to Using AI to Solve Real...,The barbell effect of machine learning.,"Hello, TensorFlow!",How enterprise architects can help ensure success with digital transformations,The Internet of Things is looking for its VisiCalc
The future of the shopping mall,Visa e Swatch lançam relógio para pagamentos contactless no Brasil - Startupi,MOBILE TIME - Shoppings do Rio testarão solução de marketing com beacons,6 exemplos de como usar computação cognitiva | EXAME.com,Quando usar paginação e quando usar scroll infinito?,Shopping app Spring's redesign could be a game-changer
One Dollar Board: Um projeto brasileiro para revolucionar a educação,11 Internet of Things (IoT) Protocols You Need to Know About,Zuckerberg mostra em vídeo do que sua inteligência artificial 'Jarvis' é capaz,NodeMCU (ESP8266) o módulo que desbanca o Arduino e facilitará a Internet das Coisas...,Comercial japonês cria cidade de papel com caneta que conduz eletricidade,Par de alianças impede que seu parceiro assista Netflix sem você
What is WebAssembly? The Dawn of a New Era - JavaScript Scene,StrictMode for Runtime Analysis on Android - Google Developers,Um bilhão de arquivos mostram quem vence a disputa tabs vs. espaços entre programadores,The Importance of Code Reviews,Post: Just Say mNo to Hungarian Notation,Advanced Android Espresso
Don't document your code. Code your documentation.,Como testar exceções em Java com o JUnit - Code a Test,Concrete things you can do about your technical debt,Using DiffUtil in Android RecyclerView,When to make a Git Commit,Testes unitários vs aceitação - Android Dev BR
Spark comparison: AWS vs. GCP,Google's Cloud Machine Learning service is now in public beta,Machine Learning Is No Longer Just for Experts,"The ""Joel Test"" for Data Science",Scala is the new golden child,Google cloud boss Diane Greene: We're winning against AWS and Microsoft
New Amazon Linux Container Image for Cloud and On-Premises Workloads,Build Quality In: The Key to Continuous Delivery in Kanban,Do You Suffer From Deployment Anxiety? - DZone DevOps,Mastering Bash and Terminal,Labelling automated builds on Docker Hub - Microscaling Systems,The Ten Commandments of Egoless Programming
Testes unitários vs aceitação - Android Dev BR,Using DiffUtil in Android RecyclerView,Developing Android unit and instrumentation tests - Tutorial,"Fresco, sim! - Android Dev BR",The technology behind preview photos,Itaú segue tendência das fintechs e se torna primeiro banco tradicional a permitir abertura de contas por app - Startupi
"Por dentro do MariaLab: A tecnologia é área para as mulheres, sim!",Google usa aprendizado de máquina para melhorar imagens de baixa qualidade | Google Discovery,Burger King aceita pedidos via mensagens no Facebook - Startupi,1º Congresso Brasileiro de IoT - Embarcados,Nova pulseira tecnológica avisa se você já bebeu demais,Este é o melhor jeito de entender como as mulheres sofrem machismo na área de TI
Zuckerberg mostra em vídeo do que sua inteligência artificial 'Jarvis' é capaz,Mary Meeker's essential 2016 Internet Trends Report,The AI business landscape,Par de alianças impede que seu parceiro assista Netflix sem você,Funcionários do mês no CoolHow: os Slackbots - CoolHow Creative Lab,The return of the machinery question
Rating the English Proficiency of Countries and Industries Around the World,Build Quality In: The Key to Continuous Delivery in Kanban,Top 30 Commonly Confused Words in English,Why It's Time to Take Google's PC Operating System Seriously,The real reasons you procrastinate - and how to stop,Tech in Brazil is booming despite the country's political troubles
Lilly Wachowski Makes First Public Appearance Since Coming Out as Transgender,The AI business landscape,Text summarization with TensorFlow,Touch (TV Series 2012-2013),"Deep-learning algorithm predicts photos' memorability at ""near-human"" levels","No ""Altas Horas"", garoto filho de casal homoafetivo dá lição contra a homofobia"
Four Node.js Gotchas that Operations Teams Should Know about - The New Stack,Mercado de Cosméticos no Brasil - Setor que não conhece crise!,"Why Performance Matters, Part 1: The Perception Of Time - Smashing Magazine",Mobify report reveals impact of mobile website speed,Things you probably didn't know you could do with Chrome's Developer Console,Não existe frete grátis!
WeChat's world,WeChat's competitor to Slack has arrived,"How I built an app with 500,000 users in 5 days on a $100 server","Amazon still crushing cloud competition, says Gartner Magic Quadrant for IaaS - TechRepublic",Multi-Channel Marketing in 2015 - It's not rocket science.,Acquia Engage Awards Finalists Announced
Como resolver conflitos no ambiente corporativo us,Investimentos em coaching e mentoring aumentam nas empresas,O valor de seu trabalho de coaching vai depender de suas habilidades de acompanhamento - Harvard Business Review Brasil,How to augment your career with leadership coaching,Cinco competências comportamentais para você ser um bom líder,Psicóloga de Harvard diz que as pessoas julgam você em segundos por esses critérios | Jornal do Empreendedor
55 fornecedores de TI que apresentarão novidades no Ciab 2016,How to Create an Exponential Mindset,The surprising truth about which countries lead in digital,Transforming life insurance with design thinking,MOBILE TIME - Youse: seguradora digital se diferencia através da interface móvel,Meio&Mensagem
Top 5 Android Testing Frameworks with Examples,"Espresso Intents: não é magia, é tecnologia! - Android Dev BR",Como o layout de aplicativos influencia o usuário e por que você deveria testá-lo - One Day Testing Blog,Dicas avançadas de ruby (capybara/cucumber),Microservices testing,The Broken Window Theory
"Fresco, sim! - Android Dev BR",StrictMode for Runtime Analysis on Android - Google Developers,Creating Compound Views on Android,Firebase Test Lab for Android,"Create Intelligent, Context-Aware Apps with the Google Awareness APIs | Android Developers Blog",Android Mobile Vision restores operation and adds Text API | Android Developers Blog
Mobile Time,PwC faz virada digital e já fatura US$ 1 bilhão no mundo,6 exemplos de como usar computação cognitiva | EXAME.com,Novas frentes de trabalho da Alelo vão de ações de fidelidade a novos meios de pagamento,MOBILE TIME - Shoppings do Rio testarão solução de marketing com beacons,The new tech talent you need to succeed in digital
O dia em que tive mais medo de estar errada.,Glamour Exclusive: President Obama On Feminism and The World He Wants to Leave His Daughters,#Sentaquelávemtextão,A minha viagem à Maternidade #tetodomundo,Susan Wojcicki on the Effectiveness of Empowering Ads on YouTube,As expectativas das mulheres da Geração Y são muitas
Cinco competências essenciais ao IT Leaders - CIO,"Amazon still crushing cloud competition, says Gartner Magic Quadrant for IaaS - TechRepublic",The future of the shopping mall,Nubank e Goldman fecham parceria de R$ 200 milhões,Visa e Swatch lançam relógio para pagamentos contactless no Brasil - Startupi,Mobile Time
Hype Driven Development,Visual Thinking and Learning 3.0 working together at Walmart.com | Happy Melly,How to build cross-platform mobile apps using nothing more than a JSON markup,Spring Boot 1.5.1 released,Communication patterns in a Microservice world,Aplicações da Inteligência artificial | Endeavor Brasil
What Apple's differential privacy means for your data and the future of machine learning,Joel on Software,Amazon causa polêmica com serviço que faz entregas em 1 hora em Paris,"AWS vs Packet.net Why we left AWS Benchmarking AWS's Network, Disk, and CPU Performance - Tiingo Thoughts",Ordering coffee in Italy: the 10 commandments,Alecrim/AlecrimCoreData
9 Non-Threatening Leadership Strategies for Women,Google employees are adding 'Lady' to their job titles to fight sexism,"An independent organization just ranked Google as the best cloud, beating Amazon",A minha viagem à Maternidade #tetodomundo,Glamour Exclusive: President Obama On Feminism and The World He Wants to Leave His Daughters,Jury finds Google's implementation of Java in Android was fair use
Diane Greene wants to put the enterprise front and center of Google Cloud strategy,Two Different Sales Motions . . . .,An operating model for company-wide agile development,Staying one step ahead at Pixar: An interview with Ed Catmull,7 Questions to Ask Before Your Next Digital Transformation,2 terrific #MarTech talks on the rise of AI in marketing - Chief Marketing Technologist
Introducing Ask a Female Engineer,The Genderbread Person v3 | It's Pronounced Metrosexual,YouTube chama seus criadores de conteúdo para a campanha mundial #OrgulhoDeSer,Este site quer conectar profissionais trans e travestis a empresas que não têm preconceito,Workplace diversity in Brazil: there's still a long way to go,"TRF mantém resolução que proíbe ""cura gay"" - Jornal Opção"
Google vai reduzir em 50% consumo de memória do Chrome | Google Discovery,"""Consultorias promovem a desvalorização do nosso negócio"" - Meio & Mensagem",Olli: Artificial Intelligence for the real world of connected commuting,Advanced Android Espresso,"Google Pixel, o primeiro smartphone feito pelo Google | Google Discovery",Microservices Architecture on Google App Engine
Serverless real-time architecture on AWS: there is a way !,"Zuul 2 : The Netflix Journey to Asynchronous, Non-Blocking Systems",Serverless Architectures,Learning How to Learn: The Most Important Developer Skill - Free Code Camp,Angular 2 versus React: There Will Be Blood - Free Code Camp,Ubuntu recebe suporte ao React Native e aplicativos de Android e iOS poderão chegar ao sistema
Creating value in auto finance with vLendRight | Kevin Moseri,Aplicativo gratuito permite gerenciar Consórcio Honda diretamente do celular - Notícias - Auto Estrada,Google acquires deep search engine Kifi to enhance its Spaces group chat app,The economic essentials of digital strategy,Goodbye accountants! Startup builds AI to automate all your accounting,How to Create an Exponential Mindset
"Welcome to GoogleBank, Facebook Bank, Amazon Bank, and Apple Bank - Enrique Dans",Banking Needs a Customer Experience Wake-Up Call,"No, Apple isn't the next BlackBerry - it's the next Microsoft",XP quer ter banco no Brasil e vai abrir escritório em Genebra este mês,Confused by blockchains? Revolution vs Evolution,Mobile marketing statistics 2016
Não ao preconceito! ONU celebra Dia da Visibilidade de Mulheres Lésbicas e Bissexuais,Conheça 20 atletas LGBT que vão competir nas Olimpíadas do Rio,Why Is Learning Drupal Hard?,Workplace diversity in Brazil: there's still a long way to go,"Mesmo sem apoio, Parada LGBT de Campinas arrasta multidão pelas ruas",Este site quer conectar profissionais trans e travestis a empresas que não têm preconceito
"Applying the Linus Torvalds ""Good Taste"" Coding Requirement",Anti-If: The missing patterns,Four Node.js Gotchas that Operations Teams Should Know about - The New Stack,Mobify report reveals impact of mobile website speed,Ubuntu recebe suporte ao React Native e aplicativos de Android e iOS poderão chegar ao sistema,"Why Performance Matters, Part 1: The Perception Of Time - Smashing Magazine"
Designer Creates 13 Perfect Circles to Draw Almost Any Animal,"Margaret Gould Stewart: How giant websites design for you (and a billion others, too)",A identidade visual de Budapeste para as Olimpíadas de 2024,Branding é problema seu. E meu.,Chrome OS now has Material Design for the desktop,10 Multipurpose Material Design Themes to Make Your Projects 10 Times Better
"Forget The Internet Of Things, There Is A Digital Revolution Taking Place In Our Shopping Malls",Mercado de Cosméticos no Brasil - Setor que não conhece crise!,As compras e os hábitos dos brasileiros no shopping | EXAME.com,MOBILE TIME - Shoppings do Rio testarão solução de marketing com beacons,Visa e Swatch lançam relógio para pagamentos contactless no Brasil - Startupi,Não existe frete grátis!
"TRF mantém resolução que proíbe ""cura gay"" - Jornal Opção",YouTube chama seus criadores de conteúdo para a campanha mundial #OrgulhoDeSer,"Para rebater Estatuto da Família, campanha muda significado de 'família' no Dicionário Houaiss",The Genderbread Person v3 | It's Pronounced Metrosexual,Workplace diversity in Brazil: there's still a long way to go,Pabllo Vittar reina no novo comercial da Skol para os Jogos Olímpicos
Como o layout de aplicativos influencia o usuário e por que você deveria testá-lo - One Day Testing Blog,Top 5 Android Testing Frameworks with Examples,Resenha - A Chegada,"Espresso Intents: não é magia, é tecnologia! - Android Dev BR",Apenas US$ 59: Nintendo anuncia o relançamento do Nintendinho com 30 jogos na memória,Dicas avançadas de ruby (capybara/cucumber)
Meio&Mensagem,Can Accenture Take Over Advertising?,The need to lead in data and analytics,Accenture amplia atuação no Brasil,Mobile Time,The surprising truth about which countries lead in digital
"Tabs vs Spaces: How They Write Java at Google, Twitter, Mozilla and Pied Piper | Takipi Blog",Building Spring Cloud Microservices That Strangle Legacy Systems,"Incrível, Skype se lembrou que o Linux existe!",Combining Spring Boot and JDBI,VMware Cloud™ on AWS - A Closer Look - frankdenneman.nl,Firebase and Google Cloud: better together
Migrating from Parse to Bluemix,O que o GitHub tem a nos dizer sobre os estereótipos entre programadores | Tecnoblog,"What's new in Android: the N-Release, Virtual Reality, Android Studio 2.2 and more | Android Developers Blog",The moment when you realize every server in the world is vulnerable - Free Code Camp,Olli: Artificial Intelligence for the real world of connected commuting,Mudanças na App Store podem não conquistar desenvolvedores | EXAME.com
How to build cross-platform mobile apps using nothing more than a JSON markup,Communication patterns in a Microservice world,Hype Driven Development,Arquitetura de Microserviços habilitando APIs - Sensedia,Programming by poking: why MIT stopped teaching SICP,Java Microservices: The Cake is a Lie but You Can't Ignore It | Takipi Blog
The Best Linux Distros of 2016,"Google Pixel, o primeiro smartphone feito pelo Google | Google Discovery",Chrome OS now has Material Design for the desktop,"Ganhe 6 meses de acesso ao Pluralsight, maior plataforma de treinamento online",Using Microservices Architecture as API Enablement Strategy,Programming by poking: why MIT stopped teaching SICP
Docker e .Net,Introduction to release engineering,Java vs .NET vs Python vs Ruby vs Node.JS: Who Reigns the Job Market? | Takipi Blog,Our password hashing has no clothes,Bayer anuncia compra da Monsanto por US$ 66 bilhões,Microsoft expands its support for Docker containers
Lean IT is all about people - o Lean na TI é focado em pessoas,Investimentos em coaching e mentoring aumentam nas empresas,Qual é o valor da área de T&D na sua empresa?,O valor de seu trabalho de coaching vai depender de suas habilidades de acompanhamento - Harvard Business Review Brasil,How to augment your career with leadership coaching,Como resolver conflitos no ambiente corporativo us
How Do Top Android Developers QA Test Their Apps?,Visa inaugura Co-Creation Center em São Paulo,VMware Cloud™ on AWS - A Closer Look - frankdenneman.nl,Firebase and Google Cloud: better together,Python Is Not Java (dirtSimple.org),Creating Compound Views on Android
The Continuous Delivery Maturity Model,"DevOps security requires new mindset and tools for visibility, automation",DevOps requer profundas mudanças operacionais que o CIO precisa promover - CIO,Using Honcho to Create a Multi-Process Docker Container,"Docker - Build, Ship, and Run Any App, Anywhere",Nova regra do Banco Central pode significar o fim do Nubank; entenda - IDG Now!
"""Eat, sleep, code, repeat"" is such bullshit - Signal v. Noise","Enterprises fighting back, Spring Boot is the best, and other SpringOne Platform takeaways",Lessons from converting an app to 100% Kotlin - Keepsafe Engineering,You don't talk about refactoring club,"Netflix OSS, Spring Cloud, or Kubernetes? How About All of Them!",The Netflix Tech Blog: Engineering Trade-Offs and The Netflix API Re-Architecture
How Netflix does A/B Testing - uxdesign.cc - User Experience Design,Machine Learning Is No Longer Just for Experts,Google's Cloud Machine Learning service is now in public beta,Algorithms and architecture for job recommendations,6 reasons why I like KeystoneML,It's The Future
Android Mobile Vision restores operation and adds Text API | Android Developers Blog,StrictMode for Runtime Analysis on Android - Google Developers,"Fresco, sim! - Android Dev BR",Firebase Test Lab for Android,"Create Intelligent, Context-Aware Apps with the Google Awareness APIs | Android Developers Blog",The Importance of Code Reviews
Using DiffUtil in Android RecyclerView,Testes unitários vs aceitação - Android Dev BR,Listas com RecyclerView - Android Dev BR,Firebase Test Lab for Android,Sam Newman - Backends For Frontends,My favorite people and resources to learn Android programming from
Lessons from converting an app to 100% Kotlin - Keepsafe Engineering,Combining Spring Boot and JDBI,"Enterprises fighting back, Spring Boot is the best, and other SpringOne Platform takeaways",My favorite people and resources to learn Android programming from,VMware Cloud™ on AWS - A Closer Look - frankdenneman.nl,Advanced Android Espresso
The Definitive Guide to Database Version Control,Google segue Microsoft e lança ferramenta analítica grátis,Learning How to Learn: The Most Important Developer Skill - Free Code Camp,Java Tools and Technologies Landscape Report 2016 | zeroturnaround.com,The Continuous Delivery Maturity Model,Angular 2 versus React: There Will Be Blood - Free Code Camp
10 Modern Software Over-Engineering Mistakes,"What do you mean by ""Event-Driven""?",The Broken Window Theory,Beyond Progressive Web Apps Part 2: We Need to Know What's New,Cloud Native Part 1: Definition,Google's Cloud Dataflow stomps on Apache Spark in new benchmark tests
6 reasons why I like KeystoneML,"Feather: A Fast On-Disk Format for Data Frames for R and Python, powered by Apache Arrow",Machine Learning Is No Longer Just for Experts,Google's Cloud Machine Learning service is now in public beta,Algorithms and architecture for job recommendations,How Netflix does A/B Testing - uxdesign.cc - User Experience Design
Bancos brasileiros fecham 200 agências em 2015 - Home - iG,"The New App Store: Subscription Pricing, Faster Approvals, and Search Ads",Ordering coffee in Italy: the 10 commandments,Por que o segundo maior banco da Alemanha decidiu entrar no Brasil com R$ 240 milhões?,"AWS vs Packet.net Why we left AWS Benchmarking AWS's Network, Disk, and CPU Performance - Tiingo Thoughts",Joel on Software
Ultrapar aprova investimento adicional de R$ 196 milhões para a Ipiranga,Startups apostam em aplicativos que conectam fretes e caminhoneiros,Conselho da SABMiller aceita proposta de compra da AB InBev,Gartner Reprint,Top Asset Tracking Software: The 52 Best Tools and Software Solutions to Track Your Company's Vital Physical Assets,"Vale reverte prejuízo e tem lucro de R$ 1,8 bilhão no 3º trimestre"
Leveling Up Your JavaScript -,The five phases of migrating to Google Cloud Platform,CSS Containment in Chrome 52 | Web Updates - Google Developers,Berners-Lee quer criar outra Web,The Java 8 API Design Principles,Docker 1.12: Now with Built-in Orchestration!
Making open source data more available,The AI business landscape,The barbell effect of machine learning.,"Hello, TensorFlow!",Google researchers teach AIs to see the important parts of images - and tell you about them,"DARPA Goes ""Meta"" with Machine Learning for Machine Learning"
"Why Performance Matters, Part 1: The Perception Of Time - Smashing Magazine",Four Node.js Gotchas that Operations Teams Should Know about - The New Stack,Mercado de Cosméticos no Brasil - Setor que não conhece crise!,Mobify report reveals impact of mobile website speed,Não existe frete grátis!,"Don't Start Big, Start a Little Snowball"
'We've realized a ten-year strategy goal in one year',How enterprise architects can help ensure success with digital transformations,Machine Learning Is Redefining The Enterprise In 2016,Blaise Agüera y Arcas: How computers are learning to be creative,Nintendo has doubled in value since Pokémon Go's release,The Internet of Things is looking for its VisiCalc
Google is testing a new Material Design layout for desktop searches,What to Inspect When You are Inspecting!,Ouça a música criada pela inteligência artificial do Google | Google Discovery,Facebook says its new AI is almost as good as humans at understanding context,Watch Google's AI master the infamously difficult Atari game Montezuma's Revenge,CSS Containment in Chrome 52 | Web Updates - Google Developers
You don't talk about refactoring club,The Business Case for Progressive Web Apps,Effective learning through code workshops | Box Blog,What Color is Your Function?,Building Flipkart Lite: A Progressive Web App,Anti-If: The missing patterns
A importância dos filmes de mulherzinha - Capitolina,Empresa britânica adota licença remunerada no período menstrual,Mulheres são mais criativas que homens?,Criadas para casar,Google employees are adding 'Lady' to their job titles to fight sexism,Promoting gender equality through emoji �� ��
'The Simpsons' celebrates 600 episodes with a VR couch gag,Carteira inteligente tem trava biométrica e controle por aplicativo - Gadgets,Nova campanha da Avon tem drag queen como estrela,"Para rebater Estatuto da Família, campanha muda significado de 'família' no Dicionário Houaiss",Amazon causa polêmica com serviço que faz entregas em 1 hora em Paris,15 Awesome Sublime Text Plugins For Web Development
As expectativas das mulheres da Geração Y são muitas,Glamour Exclusive: President Obama On Feminism and The World He Wants to Leave His Daughters,A minha viagem à Maternidade #tetodomundo,O dia em que tive mais medo de estar errada.,Workplace diversity in Brazil: there's still a long way to go,#Sentaquelávemtextão
